1,112
2,97
3,85
4,77
5,73
6,64
7,62
8,63
9,59
10,50
11,48
12,43
13,37
14,37
15,36
16,30
1,122
2,114
1,124
2,105
1,160
1,159
2,138
3,123
4,116
5,101
1,161
2,141
1,158
2,134
3,134
4,111
5,100
6,95
7,86
8,70
9,68
10,65
11,60
12,53
13,47
14,50
15,51
16,47
17,47
18,43
19,40
20,33
21,31
22,33
23,35
24,33
25,34
26,32
27,28
28,27
29,25
30,23
31,21
32,19
33,16
34,15
35,16
36,17
37,17
38,17
39,15
40,14
41,13
42,11
43,14
44,13
45,14
46,14
47,15
48,16
49,16
50,15
51,15
52,15
53,16
54,16
55,17
56,17
57,12
58,12
59,14
60,15
61,15
62,15
63,15
64,15
65,15
66,15
67,13
68,13
69,13
70,13
71,13
72,13
73,13
74,13
75,13
76,13
77,5
1,16
2,14
1,18
1,17
1,15
1,17
78,5
1,17
2,19
3,13
4,14
5,10
1,17
2,15
